"del_cu_rate";"eur_to_usd_ex_rate";"camden_cu_rate";"date_added"
524.78;1.1057;3.03;"2019-08-23 00:00:00"
523.09;1.1081;3.03;"2019-08-22 00:00:00"
524.57;1.1103;3.03;"2019-08-21 00:00:00"
525.89;1.1079;3.03;"2019-08-20 00:00:00"
529.93;1.1103;3.03;"2019-08-19 00:00:00"
526.9;1.1081;3.03;"2019-08-18 00:00:00"
526.91;1.1081;3.03;"2019-08-17 00:00:00"
526.92;1.1081;3.03;"2019-08-16 00:00:00"
522.36;1.1151;3.03;"2019-08-15 00:00:00"
523.97;1.1184;3.03;"2019-08-14 00:00:00"
519.42;1.1215;3.03;"2019-08-13 00:00:00"
523.09;1.1189;3.03;"2019-08-12 00:00:00"
524.17;1.1203;3.03;"2019-08-11 00:00:00"
524.17;1.1203;3.03;"2019-08-10 00:00:00"
524.17;1.1203;3.03;"2019-08-09 00:00:00"
523.0;1.1188;3.03;"2019-08-08 00:00:00"
518.09;1.1198;3.03;"2019-08-07 00:00:00"
518.13;1.1185;3.03;"2019-08-06 00:00:00"
516.62;1.118;3.03;"2019-08-05 00:00:00"
531.05;1.1104;3.03;"2019-08-04 00:00:00"
531.05;1.1104;3.03;"2019-08-03 00:00:00"
531.05;1.1104;3.03;"2019-08-02 00:00:00"
544.12;1.1035;3.03;"2019-08-01 00:00:00"
542.99;1.115;3.07;"2019-07-31 00:00:00"
544.47;1.1151;3.07;"2019-07-30 00:00:00"
546.62;1.112;3.07;"2019-07-29 00:00:00"
545.48;1.1135;3.07;"2019-07-28 00:00:00"
545.48;1.1135;3.07;"2019-07-27 00:00:00"
545.48;1.1135;3.07;"2019-07-26 00:00:00"
552.21;1.1114;3.07;"2019-07-25 00:00:00"
548.23;1.1142;3.07;"2019-07-24 00:00:00"
545.58;1.1173;3.07;"2019-07-23 00:00:00"
547.4;1.1209;3.07;"2019-07-22 00:00:00"
551.44;1.1233;3.07;"2019-07-21 00:00:00"
551.44;1.1233;3.07;"2019-07-20 00:00:00"
551.44;1.1233;3.07;"2019-07-19 00:00:00"
541.56;1.122;3.07;"2019-07-18 00:00:00"
539.34;1.1218;3.07;"2019-07-17 00:00:00"
542.49;1.1222;3.07;"2019-07-16 00:00:00"
543.75;1.1263;3.07;"2019-07-15 00:00:00"
540.37;1.1247;3.07;"2019-07-14 00:00:00"
540.37;1.1247;3.07;"2019-07-13 00:00:00"
540.37;1.1247;3.07;"2019-07-12 00:00:00"
536.79;1.1278;3.07;"2019-07-11 00:00:00"
534.23;1.1214;3.07;"2019-07-10 00:00:00"
529.67;1.1203;3.07;"2019-07-09 00:00:00"
538.35;1.1221;3.07;"2019-07-08 00:00:00"
531.6;1.1259;3.07;"2019-07-07 00:00:00"
531.6;1.1259;3.07;"2019-07-06 00:00:00"
531.6;1.1259;3.07;"2019-07-05 00:00:00"
534.12;1.1287;3.07;"2019-07-04 00:00:00"
531.56;1.1291;3.07;"2019-07-03 00:00:00"
534.51;1.1296;3.07;"2019-07-02 00:00:00"
539.95;1.1348;3.07;"2019-07-01 00:00:00"
536.48;1.1372;3.01;"2019-06-28 00:00:00"
534.62;1.1375;3.01;"2019-06-27 00:00:00"
539.95;1.136;3.01;"2019-06-26 00:00:00"
537.2;1.1383;3.01;"2019-06-25 00:00:00"
530.57;1.1395;3.01;"2019-06-24 00:00:00"
524.78;1.1057;3.03;"2019-08-24 07:00:03"
